"order_id";"transaction_id";"restaurant_location";"timestamp";"item_name";"quantity";"unit_price";"discount";"total_amount"
100000;500000;"Riverside";"2025-09-21 19:14:00";"Burger item 15";1;11.78;"0";11.78
100001;500001;"Riverside";"2025-08-22 12:12:00";"Past item 56";1;18.78;"0";18.78
100002;500002;"Westgate";"2025-02-19 13:13:00";"Salad item 27";1;10.96;"0.15";9.32
100003;500003;"Westgate";"2025-11-24 11:49:00";"Fish & chips";4;20.99;"0";83.96
100004;500004;"Downtown";"2025-03-12 22:46:00";"Side item 44";1;18.45;"0";18.45
100005;500005;"Downtown";"2025-11-08 15:27:00";"Appetizer item 29";1;25.92;"0.1";23.33
100006;500006;"Riverside";"2025-04-03 21:23:00";"Salad item 35";1;12.79;"0";12.79
100007;500007;"Westgate";"2025-04-19 22:39:00";"Pizz item 52";2;9.94;"0";19.88
100008;500008;"Downtown";"2025-01-03 22:05:00";"Margherita pizza";1;15.99;"0.1";14.39
100009;500009;"Westgate";"2025-05-12 17:40:00";"Salad item 45";3;22.28;"0";66.84
100010;500010;"Downtown";"2025-12-21 13:32:00";"Pizz item 42";1;19.83;"0";19.83
100011;500011;"Downtown";"2025-07-16 22:50:00";"Dessert item 37";3;14.43;"0";43.29
100012;500012;"Riverside";"2025-09-07 11:57:00";"Salad item 49";2;22.91;"0";45.82
100013;500013;"Downtown";"2025-07-23 22:28:00";"Appetizer item 57";1;17.85;"0.15";15.17
100014;500014;"Downtown";"2025-01-27 11:41:00";"Burger item 21";1;22.18;"0";22.18
100015;500015;"Riverside";"2025-11-20 14:13:00";"Side item 39";2;10.36;"0.15";17.61
100017;500017;"Downtown";"2025-12-10 20:16:00";"Side item 12";4;22.43;"0.1";80.75
100018;500018;"Riverside";"2025-02-22 15:41:00";"Past item 48";2;19.48;"0.15";33.12
100019;500019;"Westgate";"2025-03-26 12:11:00";"Past item 41";4;15.0;"0";60.0
100020;500020;"Riverside";"2025-09-02 14:05:00";"Beverage item 23";2;19.98;"0";39.96
100021;500021;"Riverside";"2025-05-25 19:51:00";"Side item 44";1;18.45;"0";18.45
100022;500022;"Riverside";"2025-05-26 22:52:00";"Beverage item 4";1;23.66;"0";23.66
100023;500023;"Riverside";"2025-02-09 13:23:00";"Fish & chips";2;20.99;"0.15";35.68
100024;500024;"Westgate";"2025-04-14 10:21:00";"Fish & chips";2;20.99;"0";41.98
100025;500025;"Westgate";"2025-05-20 10:01:00";"Pizz item 38";2;22.79;"0.1";41.02
100026;500026;"Downtown";"2025-03-28 19:02:00";"Pizz item 55";3;25.08;"0";75.24
100027;500027;"Westgate";"2025-11-21 21:54:00";"Dessert item 17";1;26.42;"0";26.42
100028;500028;"Downtown";"2025-05-14 10:08:00";"Coffee";2;4.49;"0";8.98
100029;500029;"Westgate";"2025-07-09 13:55:00";"Past item 7";3;16.46;"0";49.38
100030;500030;"Downtown";"2025-01-25 19:02:00";"Pizz item 38";2;22.79;"0";45.58
100031;500031;"Riverside";"2025-05-16 16:59:00";"Dessert item 13";1;11.33;"0";11.33
100032;500032;"Downtown";"2025-09-20 12:38:00";"Side item 44";3;18.45;"0.1";49.81
100033;500033;"Riverside";"2025-04-25 18:03:00";"Beverage item 24";2;9.81;"0";19.62
100034;500034;"Riverside";"2025-11-11 20:25:00";"Margherita pizza";1;15.99;"0.1";14.39
100035;500035;"Westgate";"2025-04-11 14:49:00";"Coffee";2;4.49;"0.15";7.63
100036;500036;"Riverside";"2025-01-27 12:19:00";"Bbq burger";3;17.49;"0.1";47.22
100037;500037;"Riverside";"2025-07-08 10:54:00";"Appetizer item 47";10;14.19;"0.1";127.71
100038;500038;"Riverside";"2025-03-08 17:58:00";"Dessert item 37";2;14.43;"0.15";24.53
100039;500039;"Westgate";"2025-11-02 18:30:00";"Dessert item 8";4;8.2;"0";32.8
100040;500040;"Downtown";"2025-11-19 22:55:00";"Appetizer item 31";5;17.56;"0.1";79.02
100041;500041;"Downtown";"2025-08-27 22:06:00";"Main item 54";2;25.7;"0.15";43.69
100042;500042;"Downtown";"2025-08-28 22:12:00";"Side item 20";1;8.05;"0";8.05
100043;500043;"Riverside";"2025-02-12 17:06:00";"Beverage item 24";1;9.81;"0";9.81
100044;500044;"Riverside";"2025-04-05 14:44:00";"Appetizer item 31";1;17.56;"0.15";14.93
100045;500045;"Westgate";"2025-02-21 19:33:00";"Burger item 16";1;17.26;"0";17.26
100046;500046;"Westgate";"2025-08-22 20:37:00";"Dessert item 17";4;26.42;"0.1";95.11
100047;500047;"Downtown";"2025-05-05 13:45:00";"Beverage item 18";1;14.99;"0.1";13.49
100048;500048;"Westgate";"2025-02-22 11:31:00";"Side item 22";4;8.94;"0";35.76
100049;500049;"Westgate";"2025-05-03 11:00:00";"Burger item 16";2;17.26;"0.1";31.07
100050;500050;"Westgate";"2025-01-22 22:09:00";"Beverage item 18";1;14.99;"0";14.99
100051;500051;"Riverside";"2025-04-06 16:01:00";"Fish and chips";2;20.99;"0";41.98
100052;500052;"Riverside";"2025-06-25 22:06:00";"Burger item 6";1;22.9;"0";22.9
100053;500053;"Riverside";"2025-07-11 10:47:00";"Fish & chips";1;20.99;"0";20.99
100054;500054;"Westgate";"2025-07-14 14:01:00";"Appetizer item 5";3;19.5;"0";58.5
100055;500055;"Riverside";"2025-08-27 15:57:00";"Side item 19";3;14.02;"0";42.06
100056;500056;"Westgate";"2025-12-27 14:49:00";"Appetizer item 47";3;14.19;"0";42.57
100057;500057;"Westgate";"2025-12-18 22:07:00";"Classic burger";1;16.99;"0";16.99
100058;500058;"Westgate";"2025-04-03 15:26:00";"Appetizer item 58";10;7.66;"0";76.6
100059;500059;"Downtown";"2025-10-25 16:38:00";"Dessert item 17";1;26.42;"0.15";22.46
100060;500060;"Westgate";"2025-04-15 22:28:00";"Classic burger";1;16.99;"0.1";15.29
100061;500061;"Riverside";"2025-12-19 22:56:00";"Dessert item 37";1;14.43;"0";14.43
100062;500062;"Riverside";"2025-10-23 14:07:00";"Burger item 15";3;11.78;"0";35.34
100063;500063;"Westgate";"2025-02-13 21:51:00";"Pizz item 52";2;9.94;"0.1";17.89
100064;500064;"Downtown";"2025-09-25 17:48:00";"Pizz item 38";2;22.79;"0.1";41.02
100065;500065;"Riverside";"2025-12-26 19:09:00";"Appetizer item 58";4;7.66;"0";30.64
100066;500066;"Westgate";"2025-12-30 10:21:00";"Beverage item 4";4;23.66;"0.1";85.18
100067;500067;"Riverside";"2025-05-27 19:14:00";"Salad item 35";3;12.79;"0.1";34.53
100068;500068;"Downtown";"2025-12-31 19:07:00";"Grilled salmon";1;30.99;"0";30.99
100069;500069;"Riverside";"2025-02-01 21:01:00";"Appetizer item 31";1;17.56;"0.1";15.8
100070;500070;"Riverside";"2025-12-21 21:47:00";"Past item 56";3;18.78;"0";56.34
100071;500071;"Riverside";"2025-01-05 10:06:00";"Beverage item 4";3;23.66;"0";70.98
100072;500072;"Downtown";"2025-04-08 17:20:00";"Salad item 45";3;22.28;"0";66.84
100073;500073;"Westgate";"2025-06-23 14:50:00";"Pizz item 50";4;9.44;"0.1";33.98
100074;500074;"Westgate";"2025-07-31 17:41:00";"Appetizer item 57";1;17.85;"0";17.85
100075;500075;"Downtown";"2025-10-27 11:34:00";"Burger item 11";1;26.52;"0";26.52
100076;500076;"Downtown";"2025-11-19 16:59:00";"Caesar salad";1;12.99;"0.1";11.69
100077;500077;"Westgate";"2025-10-06 10:01:00";"Beverage item 18";2;14.99;"0";29.98
100078;500078;"Westgate";"2025-01-07 12:37:00";"Beverage item 18";3;14.99;"0";44.97
100079;500079;"Riverside";"2025-09-19 18:13:00";"Bbq burger";1;17.49;"0";17.49
